schedule_id,cnn,corridor,limits,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_hour,min_citation_hour,max_citation_hour,avg_distance_meters,min_distance_meters,max_distance_meters
2000269,173000,03rd St,Perry St  -  Stillman St,Sunday,2,6,12,10.0,10,10,113.42143072233652,8.7968420003349,198.1327245290784
2000270,173000,03rd St,Perry St  -  Stillman St,Sunday,2,6,12,10.0,10,10,113.42143072233652,8.7968420003349,198.1327245290784
2000281,171000,03rd St,Saint Francis Pl  -  Harrison St,Sunday,2,6,24,10.0,10,10,77.49133646877391,12.538715094807374,113.89025177866178
2000282,171000,03rd St,Saint Francis Pl  -  Harrison St,Sunday,2,6,24,10.0,10,10,77.49133646877391,12.538715094807374,113.89025177866178
2000289,177000,03rd St,South Park  -  Varney Pl,Monday,2,6,7,10.0,10,10,112.65758772316099,12.710627667213744,166.0671327597769
2000290,177000,03rd St,South Park  -  Varney Pl,Monday,2,6,7,10.0,10,10,112.65758772316099,12.710627667213744,166.0671327597769
2000291,164000,03rd St,Stevenson St  -  Jessie St,Monday,2,6,8,10.0,10,10,95.10214488536337,8.642790084000291,118.23473361016046
2000292,164000,03rd St,Stevenson St  -  Jessie St,Monday,2,6,8,10.0,10,10,95.10214488536337,8.642790084000291,118.23473361016046
2000293,174000,03rd St,Stillman St  -  Bryant St,Sunday,2,6,7,10.0,10,10,61.406823251561484,8.7968420003349,115.0753801831444
2000294,174000,03rd St,Stillman St  -  Bryant St,Sunday,2,6,7,10.0,10,10,61.406823251561484,8.7968420003349,115.0753801831444
2000295,176000,03rd St,Taber Pl  -  South Park,Sunday,2,6,4,10.0,10,10,59.693804286247484,12.710627667213744,101.59398639966986
2000296,176000,03rd St,Taber Pl  -  South Park,Sunday,2,6,4,10.0,10,10,59.693804286247484,12.710627667213744,101.59398639966986
2000305,180000,03rd St,Townsend St  -  King St,Monday,2,6,14,10.0,10,10,41.86693017402246,8.734954744245703,143.00039172923564
2000306,180000,03rd St,Townsend St  -  King St,Monday,2,6,14,10.0,10,10,41.86693017402246,8.734954744245703,143.00039172923564
2000311,178000,03rd St,Varney Pl  -  Brannan St,Monday,2,6,6,10.0,10,10,111.2649932686242,51.26153492179337,173.3374109587951
2000312,178000,03rd St,Varney Pl  -  Brannan St,Monday,2,6,6,10.0,10,10,111.2649932686242,51.26153492179337,173.3374109587951
2000324,244000,04th Ave,Balboa St  -  Cabrillo St,Monday,8,10,3,10.0,10,10,71.5854618922511,22.951002982714964,98.09081472084476
2000326,245000,04th Ave,Cabrillo St  -  Fulton St,Monday,8,10,3,10.0,10,10,82.81617527188205,36.424539739286246,113.9331713555151
2000328,239000,04th Ave,California St  -  Cornwall St,Monday,7,9,3,10.0,10,10,45.252122120121776,34.87397431210894,56.68815958933524
2000332,240000,04th Ave,Cornwall St  -  Clement St,Monday,7,9,3,10.0,10,10,84.95633713926568,74.48872911508252,96.47364403253226
2000337,248000,04th Ave,Irving St  -  Parnassus Ave,Wednesday,12,14,3,10.0,10,10,80.1526351332296,72.46677478029936,83.99556530969471
2000340,238000,04th Ave,Lake St  -  California St,Monday,9,11,3,10.0,10,10,41.400545883651255,23.319245602697396,56.68815958933524
2000387,281000,05th Ave,Anza St  -  Balboa St,Thursday,8,10,5,10.0,10,10,51.631682287220144,11.802331040138894,110.06490258923762
2000388,281000,05th Ave,Anza St  -  Balboa St,Tuesday,8,10,3,10.0,10,10,42.035737891002384,8.765340643596293,62.613944378206135
2000391,283000,05th Ave,Cabrillo St  -  Fulton St,Thursday,8,10,5,10.0,10,10,33.24399165078219,9.021330008958126,55.72068019952662
2000393,277000,05th Ave,California St  -  Cornwall St,Thursday,7,9,3,10.0,10,10,68.36179973025584,20.378137986158734,118.05560592974564
2000394,277000,05th Ave,California St  -  Cornwall St,Tuesday,7,9,5,10.0,10,10,60.33723263722404,8.82623168572573,106.81651667154722
2000395,279000,05th Ave,Clement St  -  Geary Blvd,Thursday,7,9,6,10.0,10,10,84.13070743380212,54.11542238998653,100.76646131394983
2000396,279000,05th Ave,Clement St  -  Geary Blvd,Tuesday,7,9,3,10.0,10,10,116.42758857079241,66.03432710034168,157.55642062581967
2000397,278000,05th Ave,Cornwall St  -  Clement St,Thursday,7,9,3,10.0,10,10,79.09158256551297,50.32191817827796,97.09850233980787
2000398,278000,05th Ave,Cornwall St  -  Clement St,Tuesday,7,9,5,10.0,10,10,72.51692986401618,8.82623168572573,137.3158732700432
2000399,280000,05th Ave,Geary Blvd  -  Anza St,Thursday,7,9,5,10.0,10,10,72.9415098090679,49.69545683869386,105.02159020658769
2000400,280000,05th Ave,Geary Blvd  -  Anza St,Tuesday,7,9,4,10.0,10,10,57.5956803977345,46.818730895498625,66.22211766602852
2000409,276000,05th Ave,Lake St  -  California St,Thursday,9,11,3,10.0,10,10,46.0032261404941,9.203779443924603,66.65165527486316
2000410,276000,05th Ave,Lake St  -  California St,Tuesday,9,11,4,10.0,10,10,53.156382424699,44.36638241640472,70.54719883190013
2000456,319000,06th Ave,Balboa St  -  Cabrillo St,Wednesday,8,10,4,10.0,10,10,55.48491225244694,42.642594547077174,70.21237048472352
2000457,320000,06th Ave,Cabrillo St  -  Fulton St,Monday,8,10,5,10.0,10,10,78.93159012908015,39.924691934555014,125.77380845952787
2000458,320000,06th Ave,Cabrillo St  -  Fulton St,Wednesday,8,10,3,10.0,10,10,61.14001435768726,43.927150612173165,73.05080302997871
2000461,316000,06th Ave,Clement St  -  Geary Blvd,Monday,7,9,4,10.0,10,10,47.458252745964636,19.221996695138916,81.5934697665018
2000465,317000,06th Ave,Geary Blvd  -  Anza St,Monday,7,9,4,10.0,10,10,75.18922113012628,45.78268167426815,94.61888506450585
2000475,313000,06th Ave,Lake St  -  California St,Wednesday,9,11,3,10.0,10,10,75.85648009017848,71.31909898841685,84.93124229370173
2000480,339000,06th St,Ahern Way  -  Bryant St,Wednesday,4,6,4,10.0,10,10,117.37979814039579,108.53162144947449,120.78299817007873
2000481,339000,06th St,Ahern Way  -  Bryant St,Wednesday,4,6,4,10.0,10,10,117.37979814039579,108.53162144947449,120.78299817007873
2000485,337000,06th St,Clara St  -  Harrison St,Friday,4,6,14,10.0,10,10,52.87063652831652,21.92926070218404,154.51390016374663
2000486,337000,06th St,Clara St  -  Harrison St,Friday,4,6,14,10.0,10,10,52.87063652831652,21.92926070218404,154.51390016374663
2000487,334000,06th St,Clementina St  -  Folsom St,Friday,4,6,36,10.0,10,10,95.44954207988842,8.849848041443297,197.18426198052677
2000488,334000,06th St,Clementina St  -  Folsom St,Friday,4,6,36,10.0,10,10,95.44954207988842,8.849848041443297,197.18426198052677
2000489,335000,06th St,Folsom St  -  Shipley St,Friday,4,6,24,10.0,10,10,67.44126944700959,8.763724090387058,148.7746553610215
2000490,335000,06th St,Folsom St  -  Shipley St,Friday,4,6,24,10.0,10,10,67.44126944700959,8.763724090387058,148.7746553610215
2000491,338000,06th St,Harrison St  -  Ahern Way,Friday,4,6,12,10.0,10,10,90.59093806199347,21.92926070218404,152.05150049532605
2000492,338000,06th St,Harrison St  -  Ahern Way,Friday,4,6,12,10.0,10,10,90.59093806199347,21.92926070218404,152.05150049532605
2000493,332000,06th St,Howard St  -  Tehama St,Wednesday,4,6,57,10.0,10,10,89.02741343472056,13.81715052068055,186.72352449104395
2000494,332000,06th St,Howard St  -  Tehama St,Wednesday,4,6,57,10.0,10,10,89.02741343472056,13.81715052068055,186.72352449104395
