schedule_id,cnn,corridor,limits,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time
2007400,4149000,Cleary Ct,Geary Blvd  -  Laguna St,Wednesday,12,14,146,12.356506849315068,12.083333333333334,12.633333333333333
2007401,4151000,Clement St,02nd Ave  -  03rd Ave,Thursday,7,8,120,7.284861111111111,7.0,7.433333333333334
2007402,4151000,Clement St,02nd Ave  -  03rd Ave,Saturday,7,8,82,7.322764227642275,7.0,7.833333333333333
2007403,4152000,Clement St,03rd Ave  -  04th Ave,Thursday,7,8,120,7.284861111111111,7.0,7.433333333333334
2007404,4152000,Clement St,03rd Ave  -  04th Ave,Saturday,7,8,82,7.322764227642275,7.0,7.833333333333333
2007405,4153000,Clement St,04th Ave  -  05th Ave,Sunday,7,8,146,7.270433789954336,7.0,7.45
2007406,4153000,Clement St,04th Ave  -  05th Ave,Saturday,7,8,89,7.306928838951311,7.0,7.883333333333333
2007407,4154000,Clement St,05th Ave  -  06th Ave,Tuesday,7,8,146,7.246232876712328,7.0,7.45
2007408,4154000,Clement St,05th Ave  -  06th Ave,Friday,7,8,102,7.323202614379084,7.0,7.883333333333333
2007409,4155000,Clement St,06th Ave  -  07th Ave,Thursday,7,8,185,7.236576576576576,7.0,7.45
2007410,4155000,Clement St,06th Ave  -  07th Ave,Friday,7,8,120,7.408194444444445,7.0,7.933333333333334
2007411,4156000,Clement St,07th Ave  -  08th Ave,Thursday,7,8,146,7.216552511415526,7.0,7.566666666666666
2007412,4156000,Clement St,07th Ave  -  08th Ave,Friday,7,8,106,7.4444968553459105,7.0,7.933333333333334
2007413,4157000,Clement St,08th Ave  -  09th Ave,Thursday,7,8,166,7.207730923694778,7.0,7.566666666666666
2007414,4157000,Clement St,08th Ave  -  09th Ave,Wednesday,7,8,110,7.489393939393938,7.0,7.95
2007415,4158000,Clement St,09th Ave  -  10th Ave,Thursday,7,8,139,7.210791366906476,7.0,7.566666666666666
2007416,4158000,Clement St,09th Ave  -  10th Ave,Wednesday,7,8,87,7.457854406130268,7.033333333333333,7.95
2007417,4159000,Clement St,10th Ave  -  11th Ave,Sunday,7,8,129,7.210852713178295,7.0,7.55
2007418,4159000,Clement St,10th Ave  -  11th Ave,Wednesday,7,8,144,7.393865740740741,7.0,8.0
2007419,4160000,Clement St,11th Ave  -  12th Ave,Sunday,7,8,74,7.23918918918919,7.0,7.55
2007420,4160000,Clement St,11th Ave  -  12th Ave,Monday,7,8,138,7.3562801932367154,7.0,8.0
2007421,4161000,Clement St,12th Ave  -  Funston Ave,Thursday,7,8,52,7.2423076923076914,7.0,7.55
2007422,4161000,Clement St,12th Ave  -  Funston Ave,Saturday,7,8,120,7.356944444444443,7.0,8.0
2007423,4164000,Clement St,14th Ave  -  15th Ave,Friday,8,10,42,8.481746031746031,8.266666666666667,8.6
2007424,4164000,Clement St,14th Ave  -  15th Ave,Monday,12,14,98,12.40595238095238,12.3,12.783333333333333
2007425,4165000,Clement St,15th Ave  -  16th Ave,Friday,8,10,65,8.471025641025642,8.25,8.6
2007426,4165000,Clement St,15th Ave  -  16th Ave,Monday,12,14,172,12.4125,12.3,12.783333333333333
2007427,4166000,Clement St,16th Ave  -  17th Ave,Friday,8,10,56,8.457440476190476,8.25,8.583333333333334
2007428,4166000,Clement St,16th Ave  -  17th Ave,Monday,12,14,144,12.425347222222221,12.316666666666666,12.816666666666666
2007429,4167000,Clement St,17th Ave  -  18th Ave,Friday,8,10,33,8.447979797979798,8.25,8.55
2007430,4167000,Clement St,17th Ave  -  18th Ave,Monday,12,14,103,12.43203883495145,12.333333333333334,12.816666666666666
2007431,4168000,Clement St,18th Ave  -  19th Ave,Thursday,7,8,95,7.196666666666666,7.133333333333334,7.5
2007432,4168000,Clement St,18th Ave  -  19th Ave,Wednesday,7,9,102,7.587418300653594,7.183333333333334,7.8
2007433,4169000,Clement St,19th Ave  -  20th Ave,Thursday,7,8,138,7.1955314009661855,7.116666666666666,7.5
2007434,4169000,Clement St,19th Ave  -  20th Ave,Wednesday,7,9,154,7.592748917748917,7.183333333333334,7.8
2007435,4170000,Clement St,20th Ave  -  21st Ave,Thursday,7,8,124,7.1887096774193555,7.1,7.483333333333333
2007436,4170000,Clement St,20th Ave  -  21st Ave,Wednesday,7,9,159,7.609958071278824,7.183333333333334,7.833333333333333
2007437,4171000,Clement St,21st Ave  -  22nd Ave,Tuesday,7,8,105,7.191111111111112,7.1,7.483333333333333
2007438,4171000,Clement St,21st Ave  -  22nd Ave,Wednesday,7,9,170,7.653529411764706,7.25,8.066666666666666
2007439,4172000,Clement St,22nd Ave  -  23rd Ave,Tuesday,7,8,105,7.191111111111112,7.1,7.483333333333333
2007440,4172000,Clement St,22nd Ave  -  23rd Ave,Wednesday,7,9,170,7.653529411764706,7.25,8.066666666666666
2007441,4173000,Clement St,23rd Ave  -  24th Ave,Tuesday,7,8,105,7.177777777777779,7.083333333333333,7.466666666666667
2007442,4173000,Clement St,23rd Ave  -  24th Ave,Wednesday,7,9,179,7.675232774674114,7.25,8.133333333333333
2007443,4174000,Clement St,24th Ave  -  25th Ave,Tuesday,7,8,122,7.157786885245903,7.083333333333333,7.466666666666667
2007444,4174000,Clement St,24th Ave  -  25th Ave,Wednesday,7,9,209,7.668341307814992,7.266666666666667,8.133333333333333
2007445,4175000,Clement St,25th Ave  -  26th Ave,Tuesday,7,8,143,7.147086247086247,7.083333333333333,7.466666666666667
2007446,4175000,Clement St,25th Ave  -  26th Ave,Wednesday,7,9,191,7.664572425828971,7.283333333333333,8.183333333333334
2007447,4176000,Clement St,26th Ave  -  27th Ave,Thursday,7,8,125,7.137733333333332,7.083333333333333,7.45
2007448,4176000,Clement St,26th Ave  -  27th Ave,Wednesday,7,9,171,7.663840155945419,7.283333333333333,8.183333333333334
2007449,4177000,Clement St,27th Ave  -  28th Ave,Thursday,12,14,35,12.33142857142857,12.216666666666667,12.5
2007450,4177000,Clement St,27th Ave  -  28th Ave,Tuesday,10,12,29,10.144827586206896,10.083333333333334,10.433333333333334
2007451,4178000,Clement St,28th Ave  -  29th Ave,Thursday,12,14,61,12.318032786885249,12.183333333333334,12.5
2007452,4178000,Clement St,28th Ave  -  29th Ave,Tuesday,10,12,59,10.151412429378533,10.066666666666666,10.666666666666666
2007453,4179000,Clement St,29th Ave  -  30th Ave,Thursday,12,14,57,12.306140350877191,12.183333333333334,12.45
2007454,4179000,Clement St,29th Ave  -  30th Ave,Tuesday,10,12,64,10.163541666666667,10.066666666666666,10.683333333333334
2007455,4180000,Clement St,30th Ave  -  31st Ave,Thursday,12,14,68,12.297303921568627,12.183333333333334,12.45
2007456,4180000,Clement St,30th Ave  -  31st Ave,Tuesday,10,12,74,10.160810810810812,10.066666666666666,10.683333333333334
2007457,4181000,Clement St,31st Ave  -  32nd Ave,Thursday,12,14,58,12.28074712643678,12.166666666666666,12.416666666666666
2007458,4181000,Clement St,31st Ave  -  32nd Ave,Tuesday,10,12,76,10.164473684210527,10.033333333333333,10.683333333333334
2007459,4182000,Clement St,32nd Ave  -  33rd Ave,Thursday,12,14,49,12.272448979591834,12.166666666666666,12.416666666666666
2007460,4182000,Clement St,32nd Ave  -  33rd Ave,Tuesday,10,12,174,10.167911877394637,10.033333333333333,10.35
2007461,4183000,Clement St,33rd Ave  -  34th Ave,Thursday,12,14,42,12.271825396825395,12.166666666666666,12.45
2007462,4183000,Clement St,33rd Ave  -  34th Ave,Tuesday,10,12,165,10.1769696969697,10.033333333333333,10.366666666666667
2007463,4184000,Clement St,34th Ave  -  35th Ave,Thursday,12,14,39,12.276495726495726,12.15,12.45
2007464,4184000,Clement St,34th Ave  -  35th Ave,Tuesday,10,12,150,10.181777777777778,10.066666666666666,10.366666666666667
2007465,4185000,Clement St,35th Ave  -  36th Ave,Thursday,12,14,37,12.272522522522522,12.15,12.45
2007466,4185000,Clement St,35th Ave  -  36th Ave,Tuesday,10,12,51,10.204575163398692,10.1,10.366666666666667
2007467,4186000,Clement St,36th Ave  -  38th Ave,Thursday,12,14,33,12.25959595959596,12.133333333333333,12.416666666666666
2007468,4186000,Clement St,36th Ave  -  38th Ave,Tuesday,10,12,41,10.198373983739838,10.116666666666667,10.383333333333333
2007469,4187000,Clement St,38th Ave  -  39th Ave,Thursday,12,14,27,12.24567901234568,12.133333333333333,12.416666666666666
2007470,4187000,Clement St,38th Ave  -  39th Ave,Tuesday,10,12,66,10.219191919191918,10.133333333333333,10.4
2007471,4188000,Clement St,39th Ave  -  40th Ave,Thursday,12,14,35,12.249523809523808,12.133333333333333,12.4
2007472,4188000,Clement St,39th Ave  -  40th Ave,Tuesday,10,12,55,10.227575757575753,10.133333333333333,10.4
2007473,4189000,Clement St,40th Ave  -  41st Ave,Thursday,12,14,35,12.249523809523808,12.133333333333333,12.4
2007474,4189000,Clement St,40th Ave  -  41st Ave,Tuesday,10,12,55,10.227575757575753,10.133333333333333,10.4
2007475,4190000,Clement St,41st Ave  -  42nd Ave,Thursday,12,14,54,12.260493827160495,12.133333333333333,12.4
2007476,4190000,Clement St,41st Ave  -  42nd Ave,Tuesday,10,12,48,10.23263888888889,10.133333333333333,10.4
2007477,4191000,Clement St,42nd Ave  -  43rd Ave,Thursday,12,14,83,12.25843373493976,12.166666666666666,12.4
2007478,4191000,Clement St,42nd Ave  -  43rd Ave,Tuesday,10,12,70,10.21642857142857,10.133333333333333,10.366666666666667
2007479,4192000,Clement St,43rd Ave  -  44th Ave,Thursday,12,14,94,12.24929078014184,12.133333333333333,12.383333333333333
2007480,4192000,Clement St,43rd Ave  -  44th Ave,Tuesday,10,12,116,10.22629310344828,10.133333333333333,10.366666666666667
2007481,4193000,Clement St,44th Ave  -  45th Ave,Thursday,12,14,67,12.243532338308459,12.133333333333333,12.383333333333333
2007482,4193000,Clement St,44th Ave  -  45th Ave,Tuesday,10,12,156,10.238247863247862,10.15,10.416666666666666
2007483,4150000,Clement St,Arguello Blvd  -  02nd Ave,Thursday,7,8,98,7.292346938775511,7.0,7.433333333333334
2007484,4150000,Clement St,Arguello Blvd  -  02nd Ave,Saturday,7,8,48,7.343402777777778,7.0,7.833333333333333
2007485,4162000,Clement St,Funston Ave  -  Park Presidio Blvd,Thursday,7,8,30,7.28388888888889,7.183333333333334,7.55
2007486,4162000,Clement St,Funston Ave  -  Park Presidio Blvd,Friday,7,8,35,7.593809523809523,7.45,7.783333333333333
2007487,4163000,Clement St,Park Presidio Blvd  -  14th Ave,Thursday,7,8,30,7.28388888888889,7.183333333333334,7.55
2007488,4163000,Clement St,Park Presidio Blvd  -  14th Ave,Friday,7,8,35,7.593809523809523,7.45,7.783333333333333
2007489,4194000,Clementina St,01st St  -  Ecker St,Thursday,0,2,96,0.3607638888888889,0.15,0.7833333333333333
2007490,4194000,Clementina St,01st St  -  Ecker St,Thursday,0,2,96,0.3607638888888889,0.15,0.7833333333333333
2007491,4198000,Clementina St,04th St  -  Gallagher Ln,Thursday,0,2,43,0.16046511627906979,0.06666666666666667,0.26666666666666666
2007492,4198000,Clementina St,04th St  -  Gallagher Ln,Thursday,0,2,43,0.16046511627906979,0.06666666666666667,0.26666666666666666
2007493,4200000,Clementina St,05th St  -  06th St,Thursday,0,6,237,0.09226441631504922,0.0,0.25
2007494,4200000,Clementina St,05th St  -  06th St,Thursday,0,6,237,0.09226441631504922,0.0,0.25
2007495,4203000,Clementina St,08th St  -  09th St,Tuesday,0,6,53,0.8628930817610063,0.2,1.45
2007496,4203000,Clementina St,08th St  -  09th St,Tuesday,0,6,53,0.8628930817610063,0.2,1.45
2007497,4195000,Clementina St,Ecker St  -  Oscar Aly,Thursday,0,2,97,0.35979381443298974,0.15,0.7833333333333333
2007498,4195000,Clementina St,Ecker St  -  Oscar Aly,Thursday,0,2,97,0.35979381443298974,0.15,0.7833333333333333
2007499,4199000,Clementina St,Gallagher Ln  -  05th St,Thursday,0,2,95,0.12157894736842104,0.016666666666666666,0.26666666666666666
2007500,4199000,Clementina St,Gallagher Ln  -  05th St,Thursday,0,2,95,0.12157894736842104,0.016666666666666666,0.26666666666666666
2007503,4196000,Clementina St,Oscar Aly  -  02nd St,Thursday,0,2,97,0.35979381443298974,0.15,0.7833333333333333
