schedule_id,cnn,corridor,limits,cnn_right_left,block_side,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time
2002696,624000,15th Ave,Pacheco St  -  Quintara St,R,West,Friday,12,14,16,12.469791666666667,12.333333333333334,12.683333333333334
2002697,625000,15th Ave,Quintara St  -  Rivera St,L,East,Tuesday,12,14,18,12.477777777777778,12.35,12.7
2002698,625000,15th Ave,Quintara St  -  Rivera St,R,West,Friday,12,14,14,12.482142857142858,12.366666666666667,12.683333333333334
2002699,626000,15th Ave,Rivera St  -  Santiago St,L,East,Tuesday,12,14,19,12.428947368421055,12.333333333333334,12.516666666666667
2002700,626000,15th Ave,Rivera St  -  Santiago St,R,West,Friday,12,14,8,12.570833333333333,12.4,12.766666666666667
2002701,627000,15th Ave,Santiago St  -  Taraval St,L,East,Tuesday,12,14,35,12.457619047619048,12.283333333333333,12.766666666666667
2002702,627000,15th Ave,Santiago St  -  Taraval St,R,West,Friday,12,14,22,12.531060606060606,12.366666666666667,12.766666666666667
2002703,620000,15th Ave,Sheldon Ter  -  Noriega St,L,East,Tuesday,12,14,4,12.583333333333334,12.516666666666667,12.75
2002704,620000,15th Ave,Sheldon Ter  -  Noriega St,R,West,Friday,12,14,3,12.450000000000001,12.366666666666667,12.5
2002705,608000,15th Ave,Tacoma St  -  Geary Blvd,L,East,Tuesday,8,10,86,8.90251937984496,8.716666666666667,9.233333333333333
2002706,608000,15th Ave,Tacoma St  -  Geary Blvd,R,West,Thursday,8,10,58,8.790804597701149,8.666666666666666,8.983333333333333
2002707,628000,15th Ave,Taraval St  -  Ulloa St,L,East,Wednesday,13,15,23,13.3231884057971,13.183333333333334,13.616666666666667
2002708,628000,15th Ave,Taraval St  -  Ulloa St,R,West,Monday,13,15,17,13.27843137254902,13.2,13.316666666666666
2002709,629000,15th Ave,Ulloa St  -  Vicente St,L,East,Wednesday,13,15,23,13.27826086956522,13.166666666666666,13.583333333333334
2002710,629000,15th Ave,Ulloa St  -  Vicente St,R,West,Monday,13,15,19,13.271052631578947,13.183333333333334,13.366666666666667
2002711,630000,15th Ave,Vicente St  -  Wawona St,L,East,Wednesday,13,15,19,13.257894736842108,13.15,13.383333333333333
2002712,630000,15th Ave,Vicente St  -  Wawona St,R,West,Monday,13,15,18,13.294444444444444,13.216666666666667,13.35
2002713,631000,15th Ave,Wawona St  -  West Portal Ave,L,East,Tuesday,5,7,11,5.06060606060606,5.033333333333333,5.083333333333333
2002714,631000,15th Ave,Wawona St  -  West Portal Ave,L,East,Thursday,5,7,5,5.1466666666666665,5.0,5.25
2002715,631000,15th Ave,Wawona St  -  West Portal Ave,R,West,Monday,5,7,4,5.070833333333334,5.016666666666667,5.216666666666667
2002716,631000,15th Ave,Wawona St  -  West Portal Ave,R,West,Wednesday,5,7,8,5.10625,5.016666666666667,5.333333333333333
2002717,631000,15th Ave,Wawona St  -  West Portal Ave,R,West,Friday,5,7,7,5.121428571428572,5.016666666666667,5.233333333333333
