/Users/zshor/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-07-22 09:22:10,931 - INFO - 🚗 Starting Production Citation GPS Processing
2025-07-22 09:22:10,931 - INFO - ============================================================
2025-07-22 09:22:10,931 - INFO - Loading citations from file: temp_citations_for_geocoding.csv
/Users/zshor/Desktop/SFParkingApp/data_processing/production/core/production_citation_processor.py:164: DtypeWarning: Columns (2) have mixed types. Specify dtype option on import or set low_memory=False.
  df = pd.read_csv(input_file)
2025-07-22 09:22:18,292 - INFO - ✅ Loaded 495303 citations from file
2025-07-22 09:22:18,714 - INFO - Resuming: 160532 already processed, 495303 remaining
2025-07-22 09:22:26,417 - INFO - Processed 510 citations. Success rate: 95.9% (H:481, M:8, F:21)
2025-07-22 09:22:26,554 - INFO - Processed 520 citations. Success rate: 96.0% (H:491, M:8, F:21)
2025-07-22 09:22:26,726 - INFO - Processed 530 citations. Success rate: 96.0% (H:501, M:8, F:21)
2025-07-22 09:22:26,827 - INFO - Processed 540 citations. Success rate: 96.1% (H:511, M:8, F:21)
2025-07-22 09:22:26,976 - INFO - Processed 550 citations. Success rate: 96.2% (H:518, M:11, F:21)
2025-07-22 09:22:27,130 - INFO - Processed 560 citations. Success rate: 96.2% (H:527, M:12, F:21)
2025-07-22 09:22:27,276 - INFO - Processed 570 citations. Success rate: 96.1% (H:535, M:13, F:22)
2025-07-22 09:22:27,410 - INFO - Processed 580 citations. Success rate: 96.2% (H:545, M:13, F:22)
2025-07-22 09:22:27,536 - INFO - Processed 590 citations. Success rate: 96.1% (H:554, M:13, F:23)
2025-07-22 09:22:27,708 - INFO - Processed 600 citations. Success rate: 96.2% (H:564, M:13, F:23)
2025-07-22 09:22:27,879 - INFO - Processed 610 citations. Success rate: 96.1% (H:573, M:13, F:24)
2025-07-22 09:22:28,011 - INFO - Processed 620 citations. Success rate: 96.1% (H:583, M:13, F:24)
2025-07-22 09:22:28,191 - INFO - Processed 630 citations. Success rate: 96.2% (H:593, M:13, F:24)
2025-07-22 09:22:28,312 - INFO - Processed 640 citations. Success rate: 96.2% (H:603, M:13, F:24)
2025-07-22 09:22:28,459 - INFO - Processed 650 citations. Success rate: 96.3% (H:612, M:14, F:24)
2025-07-22 09:22:28,641 - INFO - Processed 660 citations. Success rate: 96.4% (H:622, M:14, F:24)
2025-07-22 09:22:28,782 - INFO - Processed 670 citations. Success rate: 96.4% (H:632, M:14, F:24)
2025-07-22 09:22:28,893 - INFO - Processed 680 citations. Success rate: 96.5% (H:642, M:14, F:24)
2025-07-22 09:22:29,076 - INFO - Processed 690 citations. Success rate: 96.5% (H:652, M:14, F:24)
2025-07-22 09:22:29,198 - INFO - Processed 700 citations. Success rate: 96.6% (H:662, M:14, F:24)
2025-07-22 09:22:29,316 - INFO - Processed 710 citations. Success rate: 96.6% (H:672, M:14, F:24)
2025-07-22 09:22:29,497 - INFO - Processed 720 citations. Success rate: 96.7% (H:682, M:14, F:24)
2025-07-22 09:22:29,641 - INFO - Processed 730 citations. Success rate: 96.7% (H:692, M:14, F:24)
2025-07-22 09:22:29,809 - INFO - Processed 740 citations. Success rate: 96.8% (H:702, M:14, F:24)
2025-07-22 09:22:29,919 - INFO - Processed 750 citations. Success rate: 96.8% (H:712, M:14, F:24)
2025-07-22 09:22:30,052 - INFO - Processed 760 citations. Success rate: 96.8% (H:722, M:14, F:24)
2025-07-22 09:22:30,231 - INFO - Processed 770 citations. Success rate: 96.9% (H:732, M:14, F:24)
2025-07-22 09:22:30,374 - INFO - Processed 780 citations. Success rate: 96.9% (H:742, M:14, F:24)
2025-07-22 09:22:30,492 - INFO - Processed 790 citations. Success rate: 97.0% (H:752, M:14, F:24)
2025-07-22 09:22:30,654 - INFO - Processed 800 citations. Success rate: 97.0% (H:762, M:14, F:24)
2025-07-22 09:22:30,786 - INFO - Processed 810 citations. Success rate: 97.0% (H:771, M:15, F:24)
2025-07-22 09:22:30,936 - INFO - Processed 820 citations. Success rate: 97.1% (H:781, M:15, F:24)
2025-07-22 09:22:31,107 - INFO - Processed 830 citations. Success rate: 97.1% (H:791, M:15, F:24)
2025-07-22 09:22:31,217 - INFO - Processed 840 citations. Success rate: 97.1% (H:801, M:15, F:24)
2025-07-22 09:22:31,362 - INFO - Processed 850 citations. Success rate: 97.2% (H:811, M:15, F:24)
2025-07-22 09:22:31,534 - INFO - Processed 860 citations. Success rate: 97.2% (H:821, M:15, F:24)
2025-07-22 09:22:31,657 - INFO - Processed 870 citations. Success rate: 97.2% (H:831, M:15, F:24)
2025-07-22 09:22:31,808 - INFO - Processed 880 citations. Success rate: 97.3% (H:841, M:15, F:24)
2025-07-22 09:22:31,944 - INFO - Processed 890 citations. Success rate: 97.3% (H:851, M:15, F:24)
2025-07-22 09:22:32,080 - INFO - Processed 900 citations. Success rate: 97.3% (H:861, M:15, F:24)
2025-07-22 09:22:32,223 - INFO - Processed 910 citations. Success rate: 97.4% (H:871, M:15, F:24)
2025-07-22 09:22:32,334 - INFO - Processed 920 citations. Success rate: 97.4% (H:881, M:15, F:24)
2025-07-22 09:22:32,506 - INFO - Processed 930 citations. Success rate: 97.4% (H:891, M:15, F:24)
2025-07-22 09:22:32,640 - INFO - Processed 940 citations. Success rate: 97.4% (H:901, M:15, F:24)
2025-07-22 09:22:32,799 - INFO - Processed 950 citations. Success rate: 97.4% (H:910, M:15, F:25)
2025-07-22 09:22:32,955 - INFO - Processed 960 citations. Success rate: 97.4% (H:920, M:15, F:25)
2025-07-22 09:22:33,094 - INFO - Processed 970 citations. Success rate: 97.4% (H:930, M:15, F:25)
2025-07-22 09:22:33,220 - INFO - Processed 980 citations. Success rate: 97.4% (H:940, M:15, F:25)
2025-07-22 09:22:33,390 - INFO - Processed 990 citations. Success rate: 97.5% (H:950, M:15, F:25)
2025-07-22 09:22:33,515 - INFO - Processed 1000 citations. Success rate: 97.4% (H:958, M:16, F:26)
2025-07-22 09:22:33,516 - INFO - Batch completed: 974/1000 success (97.4%)
2025-07-22 09:22:33,516 - INFO - Processing batch 2: citations 1001-2000 of 495303
2025-07-22 09:22:34,035 - INFO - Processed 1010 citations. Success rate: 96.9% (H:963, M:16, F:31)
2025-07-22 09:22:34,171 - INFO - Processed 1020 citations. Success rate: 96.7% (H:968, M:18, F:34)
2025-07-22 09:22:34,338 - INFO - Processed 1030 citations. Success rate: 96.5% (H:975, M:19, F:36)
2025-07-22 09:22:34,478 - INFO - Processed 1040 citations. Success rate: 96.2% (H:981, M:20, F:39)
2025-07-22 09:22:34,584 - INFO - Processed 1050 citations. Success rate: 96.0% (H:987, M:21, F:42)
2025-07-22 09:22:34,746 - INFO - Processed 1060 citations. Success rate: 96.0% (H:997, M:21, F:42)
2025-07-22 09:22:34,910 - INFO - Processed 1070 citations. Success rate: 96.0% (H:1005, M:22, F:43)
2025-07-22 09:22:35,015 - INFO - Processed 1080 citations. Success rate: 96.0% (H:1014, M:23, F:43)
