/Users/zshor/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-07-22 06:54:55,375 - INFO - 🚗 Starting Production Citation GPS Processing
2025-07-22 06:54:55,376 - INFO - ============================================================
2025-07-22 06:54:55,376 - INFO - Loading citations from file: temp_citations_for_geocoding.csv
/Users/zshor/Desktop/SFParkingApp/data_processing/production/core/production_citation_processor.py:164: DtypeWarning: Columns (2) have mixed types. Specify dtype option on import or set low_memory=False.
  df = pd.read_csv(input_file)
2025-07-22 06:55:02,166 - INFO - ✅ Loaded 495303 citations from file
2025-07-22 06:55:02,503 - INFO - Resuming: 10823 already processed, 495303 remaining
2025-07-22 06:55:36,884 - INFO - Processed 620 citations. Success rate: 96.1% (H:583, M:13, F:24)
2025-07-22 06:55:37,429 - INFO - Processed 630 citations. Success rate: 96.2% (H:593, M:13, F:24)
2025-07-22 06:55:37,968 - INFO - Processed 640 citations. Success rate: 96.2% (H:603, M:13, F:24)
2025-07-22 06:55:38,511 - INFO - Processed 650 citations. Success rate: 96.3% (H:612, M:14, F:24)
2025-07-22 06:55:39,071 - INFO - Processed 660 citations. Success rate: 96.4% (H:622, M:14, F:24)
2025-07-22 06:55:39,559 - INFO - Processed 670 citations. Success rate: 96.4% (H:632, M:14, F:24)
2025-07-22 06:55:40,095 - INFO - Processed 680 citations. Success rate: 96.5% (H:642, M:14, F:24)
2025-07-22 06:55:40,772 - INFO - Processed 690 citations. Success rate: 96.5% (H:652, M:14, F:24)
2025-07-22 06:55:41,148 - INFO - Processed 700 citations. Success rate: 96.6% (H:662, M:14, F:24)
2025-07-22 06:55:41,710 - INFO - Processed 710 citations. Success rate: 96.6% (H:672, M:14, F:24)
2025-07-22 06:55:42,225 - INFO - Processed 720 citations. Success rate: 96.7% (H:682, M:14, F:24)
2025-07-22 06:55:42,772 - INFO - Processed 730 citations. Success rate: 96.7% (H:692, M:14, F:24)
2025-07-22 06:55:43,305 - INFO - Processed 740 citations. Success rate: 96.8% (H:702, M:14, F:24)
2025-07-22 06:55:43,860 - INFO - Processed 750 citations. Success rate: 96.8% (H:712, M:14, F:24)
2025-07-22 06:55:44,361 - INFO - Processed 760 citations. Success rate: 96.8% (H:722, M:14, F:24)
2025-07-22 06:55:44,915 - INFO - Processed 770 citations. Success rate: 96.9% (H:732, M:14, F:24)
2025-07-22 06:55:45,431 - INFO - Processed 780 citations. Success rate: 96.9% (H:742, M:14, F:24)
2025-07-22 06:55:45,955 - INFO - Processed 790 citations. Success rate: 97.0% (H:752, M:14, F:24)
2025-07-22 06:55:46,516 - INFO - Processed 800 citations. Success rate: 97.0% (H:762, M:14, F:24)
2025-07-22 06:55:47,022 - INFO - Processed 810 citations. Success rate: 97.0% (H:771, M:15, F:24)
2025-07-22 06:55:47,569 - INFO - Processed 820 citations. Success rate: 97.1% (H:781, M:15, F:24)
2025-07-22 06:55:48,110 - INFO - Processed 830 citations. Success rate: 97.1% (H:791, M:15, F:24)
2025-07-22 06:55:48,611 - INFO - Processed 840 citations. Success rate: 97.1% (H:801, M:15, F:24)
2025-07-22 06:55:49,168 - INFO - Processed 850 citations. Success rate: 97.2% (H:811, M:15, F:24)
2025-07-22 06:55:49,700 - INFO - Processed 860 citations. Success rate: 97.2% (H:821, M:15, F:24)
2025-07-22 06:55:50,256 - INFO - Processed 870 citations. Success rate: 97.2% (H:831, M:15, F:24)
2025-07-22 06:55:50,767 - INFO - Processed 880 citations. Success rate: 97.3% (H:841, M:15, F:24)
2025-07-22 06:55:51,283 - INFO - Processed 890 citations. Success rate: 97.3% (H:851, M:15, F:24)
2025-07-22 06:55:51,898 - INFO - Processed 900 citations. Success rate: 97.3% (H:861, M:15, F:24)
2025-07-22 06:55:51,899 - INFO - Batch completed: 299/300 success (99.7%)
2025-07-22 06:55:51,899 - INFO - Processing batch 4: citations 901-1200 of 495303
2025-07-22 06:55:52,790 - INFO - Processed 910 citations. Success rate: 97.4% (H:871, M:15, F:24)
2025-07-22 06:55:53,301 - INFO - Processed 920 citations. Success rate: 97.4% (H:881, M:15, F:24)
2025-07-22 06:55:53,829 - INFO - Processed 930 citations. Success rate: 97.4% (H:891, M:15, F:24)
2025-07-22 06:55:54,372 - INFO - Processed 940 citations. Success rate: 97.4% (H:901, M:15, F:24)
2025-07-22 06:55:54,904 - INFO - Processed 950 citations. Success rate: 97.4% (H:910, M:15, F:25)
2025-07-22 06:55:55,494 - INFO - Processed 960 citations. Success rate: 97.4% (H:920, M:15, F:25)
2025-07-22 06:55:55,976 - INFO - Processed 970 citations. Success rate: 97.4% (H:930, M:15, F:25)
2025-07-22 06:55:56,533 - INFO - Processed 980 citations. Success rate: 97.4% (H:940, M:15, F:25)
2025-07-22 06:55:57,062 - INFO - Processed 990 citations. Success rate: 97.4% (H:949, M:15, F:26)
2025-07-22 06:55:57,570 - INFO - Processed 1000 citations. Success rate: 97.4% (H:958, M:16, F:26)
2025-07-22 06:55:58,125 - INFO - Processed 1010 citations. Success rate: 96.9% (H:963, M:16, F:31)
2025-07-22 06:55:58,668 - INFO - Processed 1020 citations. Success rate: 96.8% (H:969, M:18, F:33)
2025-07-22 06:55:59,189 - INFO - Processed 1030 citations. Success rate: 96.5% (H:976, M:18, F:36)
2025-07-22 06:55:59,749 - INFO - Processed 1040 citations. Success rate: 96.2% (H:980, M:20, F:40)
2025-07-22 06:56:00,285 - INFO - Processed 1050 citations. Success rate: 96.0% (H:987, M:21, F:42)
2025-07-22 06:56:00,794 - INFO - Processed 1060 citations. Success rate: 96.0% (H:997, M:21, F:42)
2025-07-22 06:56:01,328 - INFO - Processed 1070 citations. Success rate: 96.0% (H:1005, M:22, F:43)
2025-07-22 06:56:01,899 - INFO - Processed 1080 citations. Success rate: 96.0% (H:1014, M:23, F:43)
2025-07-22 06:56:02,409 - INFO - Processed 1090 citations. Success rate: 96.1% (H:1023, M:24, F:43)
2025-07-22 06:56:02,954 - INFO - Processed 1100 citations. Success rate: 96.1% (H:1033, M:24, F:43)
2025-07-22 06:56:03,466 - INFO - Processed 1110 citations. Success rate: 96.1% (H:1043, M:24, F:43)
2025-07-22 06:56:03,990 - INFO - Processed 1120 citations. Success rate: 96.2% (H:1053, M:24, F:43)
2025-07-22 06:56:04,572 - INFO - Processed 1130 citations. Success rate: 96.2% (H:1063, M:24, F:43)
2025-07-22 06:56:05,074 - INFO - Processed 1140 citations. Success rate: 96.2% (H:1073, M:24, F:43)
2025-07-22 06:56:05,584 - INFO - Processed 1150 citations. Success rate: 96.3% (H:1083, M:24, F:43)
2025-07-22 06:56:06,126 - INFO - Processed 1160 citations. Success rate: 96.3% (H:1093, M:24, F:43)
2025-07-22 06:56:06,676 - INFO - Processed 1170 citations. Success rate: 96.3% (H:1103, M:24, F:43)
2025-07-22 06:56:07,248 - INFO - Processed 1180 citations. Success rate: 96.4% (H:1113, M:24, F:43)
2025-07-22 06:56:07,743 - INFO - Processed 1190 citations. Success rate: 96.4% (H:1123, M:24, F:43)
2025-07-22 06:56:08,255 - INFO - Processed 1200 citations. Success rate: 96.2% (H:1131, M:24, F:45)
2025-07-22 06:56:08,257 - INFO - Batch completed: 279/300 success (93.0%)
2025-07-22 06:56:08,257 - INFO - Processing batch 5: citations 1201-1500 of 495303
2025-07-22 06:56:09,199 - INFO - Processed 1210 citations. Success rate: 96.2% (H:1139, M:25, F:46)
2025-07-22 06:56:09,774 - INFO - Processed 1220 citations. Success rate: 96.1% (H:1144, M:29, F:47)
2025-07-22 06:56:10,233 - INFO - Processed 1230 citations. Success rate: 96.2% (H:1152, M:31, F:47)
2025-07-22 06:56:10,758 - INFO - Processed 1240 citations. Success rate: 96.2% (H:1161, M:32, F:47)
2025-07-22 06:56:11,286 - INFO - Processed 1250 citations. Success rate: 96.2% (H:1170, M:32, F:48)
2025-07-22 06:56:11,886 - INFO - Processed 1260 citations. Success rate: 96.2% (H:1180, M:32, F:48)
2025-07-22 06:56:12,371 - INFO - Processed 1270 citations. Success rate: 96.2% (H:1190, M:32, F:48)
2025-07-22 06:56:12,897 - INFO - Processed 1280 citations. Success rate: 96.2% (H:1200, M:32, F:48)
2025-07-22 06:56:13,414 - INFO - Processed 1290 citations. Success rate: 96.3% (H:1210, M:32, F:48)
2025-07-22 06:56:13,975 - INFO - Processed 1300 citations. Success rate: 96.3% (H:1220, M:32, F:48)
2025-07-22 06:56:14,484 - INFO - Processed 1310 citations. Success rate: 96.3% (H:1230, M:32, F:48)
2025-07-22 06:56:15,036 - INFO - Processed 1320 citations. Success rate: 96.4% (H:1240, M:32, F:48)
2025-07-22 06:56:15,559 - INFO - Processed 1330 citations. Success rate: 96.4% (H:1250, M:32, F:48)
2025-07-22 06:56:16,093 - INFO - Processed 1340 citations. Success rate: 96.4% (H:1260, M:32, F:48)
2025-07-22 06:56:16,645 - INFO - Processed 1350 citations. Success rate: 96.4% (H:1270, M:32, F:48)
2025-07-22 06:56:17,148 - INFO - Processed 1360 citations. Success rate: 96.5% (H:1280, M:32, F:48)
2025-07-22 06:56:17,702 - INFO - Processed 1370 citations. Success rate: 96.5% (H:1290, M:32, F:48)
2025-07-22 06:56:18,223 - INFO - Processed 1380 citations. Success rate: 96.5% (H:1300, M:32, F:48)
2025-07-22 06:56:18,764 - INFO - Processed 1390 citations. Success rate: 96.5% (H:1310, M:32, F:48)
2025-07-22 06:56:19,284 - INFO - Processed 1400 citations. Success rate: 96.6% (H:1320, M:32, F:48)
2025-07-22 06:56:19,836 - INFO - Processed 1410 citations. Success rate: 96.6% (H:1330, M:32, F:48)
2025-07-22 06:56:20,368 - INFO - Processed 1420 citations. Success rate: 96.6% (H:1340, M:32, F:48)
2025-07-22 06:56:20,914 - INFO - Processed 1430 citations. Success rate: 96.6% (H:1350, M:32, F:48)
2025-07-22 06:56:21,450 - INFO - Processed 1440 citations. Success rate: 96.7% (H:1360, M:32, F:48)
2025-07-22 06:56:21,978 - INFO - Processed 1450 citations. Success rate: 96.7% (H:1370, M:32, F:48)
2025-07-22 06:56:22,509 - INFO - Processed 1460 citations. Success rate: 96.6% (H:1378, M:32, F:50)
2025-07-22 06:56:23,046 - INFO - Processed 1470 citations. Success rate: 96.6% (H:1388, M:32, F:50)
2025-07-22 06:56:23,577 - INFO - Processed 1480 citations. Success rate: 96.6% (H:1398, M:32, F:50)
2025-07-22 06:56:24,134 - INFO - Processed 1490 citations. Success rate: 96.6% (H:1408, M:32, F:50)
2025-07-22 06:56:24,880 - INFO - Processed 1500 citations. Success rate: 96.7% (H:1418, M:32, F:50)
2025-07-22 06:56:24,882 - INFO - Batch completed: 295/300 success (98.3%)
